type,1,2,3,4,5,6,7,8,9,10
attack,0.0,1.0,0.0,1.307549e-22,0.99999976,0.9952575,0.0,0.99998957,0.0085734725,0.99998736
normal,3.379142e-13,6.8757174e-05,5.7247697e-19,0.00014030933,6.1548214e-08,2.50212e-20,2.3914276e-16,4.125116e-17,0.0003502071,1.2083586e-14
attack,0.0,0.2990852,1.0,0.9998366,1.0,8.758691e-25,1.0,0.0,3.588839e-14,1.0
normal,6.525796e-30,8.057975e-30,3.373657e-27,1.3676905e-19,6.367107e-33,2.996319e-13,4.4164424e-26,7.428055e-23,2.6319462e-23,4.292848e-24
normal,2.018223e-37,0.0,0.0,1.4675962e-36,0.0,0.0,0.0,0.0,0.0,0.0
normal,0.0,0.0,0.0,0.0,1.2560663e-31,0.0,0.0,2.3391922e-34,1.5349898e-38,3.433517e-38
normal,0.0,2.8038456e-35,0.0,6.1032573e-30,9.576836e-35,0.0,8.797832e-26,0.0,6.909735e-35,0.0
attack,0.0,1.0,1.0,1.0,1.0,1.0,3.8184391e-34,2.3792835e-28,0.0,0.0
normal,1.2872986e-27,0.0,0.0,3.4170186e-28,7.347554e-34,0.0,7.344924e-14,1.9316685e-34,0.0,3.9738475e-36
normal,1.9553652e-32,0.0,6.3588897e-37,0.0,3.929233e-34,4.902919e-33,4.7686796e-29,4.716787e-31,0.0,0.0
attack,0.0,1.0,1.0,3.5926213e-28,3.7110963e-33,0.9999989,1.0,6.581655e-20,2.9394474e-20,1.0
normal,0.0,0.0,0.0,5.851568e-35,0.0,0.0,0.0,1.2727309e-23,0.0,0.0
attack,9.190417e-25,1.0,0.999948,1.0,1.920585e-15,0.0,1.0,0.0,0.82496893,0.0
attack,1.5185028e-37,0.9999411,0.0,1.205539e-32,0.0,1.0,0.97924435,1.0,8.085998e-37,0.99999696
normal,0.0,0.0,1.9686165e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,0.0,0.9999982,0.0,0.9585197,0.0,0.99964154,0.9984889,0.0,0.0,0.99927396
attack,0.0,0.29229295,0.0,2.0869482e-37,0.9999997,0.0,1.0,0.0,0.286393,0.00059479475
normal,0.0,0.0,0.0,0.0,2.1300354e-36,0.0,0.0,0.0,0.0,0.0
normal,1.2522034e-08,0.0,1.5369994e-12,8.0459354e-11,1.8698436e-05,0.97219163,1.50536745e-33,7.201968e-29,4.455674e-16,5.310662e-10
attack,0.0,1.0,1.0,1.0,1.0,3.905657e-24,0.0,1.256173e-29,1.0,0.0
normal,0.0,0.0,0.0,1.6546948e-37,0.0,0.0,0.0,0.0,0.0,0.0
normal,0.0,0.0,0.0,0.0,0.0,3.0381175e-12,0.0,0.0,0.0,0.0
normal,0.0,1.4134071e-25,9.9550115e-31,0.0,1.3186849e-21,0.0,5.3373344e-34,0.0,0.0,0.0
attack,0.0,2.485131e-35,1.0,1.0,1.0,4.5487056e-38,1.0,0.0,0.0,1.0
attack,0.0,1.3585464e-38,2.665372e-36,1.0,5.6878105e-07,0.0,0.0929648,1.0,0.0,1.0
normal,0.0,3.255976e-38,0.0,5.18657e-37,0.0,9.737379e-27,4.6938587e-34,0.0,6.1767695e-33,0.0
attack,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
attack,0.0,4.5239507e-12,2.6649592e-33,0.0,0.0070317388,5.3547437e-29,6.3394795e-25,0.0,1.0,0.9999949
normal,0.0,2.0134855e-30,3.791403e-24,1.1376179e-06,2.5517211e-14,2.4937509e-11,0.0,0.0,9.49646e-38,0.0
attack,0.0,3.2064283e-05,1.534299e-23,1.0,0.0,1.0,1.3192964e-32,1.0,1.0,1.0
normal,0.0,6.0981915e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,1.7929536e-26,1.0,1.0,1.0,1.0,0.0,0.0,1.1623186e-31,1.0,9.44107e-19
normal,0.0,0.0,0.0,0.0,0.0,0.0,1.6848278e-38,0.0,0.0,0.0
attack,0.0,0.99999845,2.4503062e-31,1.0,0.0,0.9999907,9.007326e-26,0.0,0.06800088,1.0
attack,2.2601437e-25,1.0,1.0,9.20889e-37,1.0,1.0,1.0,0.0,0.0,7.368506e-23
normal,0.0,8.652474e-21,3.12103e-14,0.0,1.0372284e-08,6.676422e-08,2.592102e-22,1.8160107e-10,3.523735e-30,6.744559e-32
